0,im sooo sick today...so no emery concert tonight 
0,@Freebies4Mom I haven't been able to access it all day 
0,won't losing you 
0,@GeminiTwisted I can't eat egg whites like @DannyWood......I'm allergic to eggs. 
0,At Home Writers Block Has Set In 
0,Burnt myself on my old friend the mini spring roll. 
0,@tommcfly http://twitpic.com/64l1e - wow thats actually amazing ... why don't my doodles ever look this good  haha
0,"@seneca That's a crying shame.  I never liked the US superheroes, but I do like the French Tin Tin and Asterix. Very high quality."
0,@kreatture there are a few in Halifax... Ex-nay on the Newfies though. 
0,Sstill happy but my feet REALLY hurt. Wish I had my sneakers. I love my sneakers. 
0,We are a lil under 11 hrs away from OTH's season finale? How many already bought their box of tissue? I am sooo broken hearted 
0,I just got new pants today . . . I just spilled copier toner all over them. 
0,"@luke not getting enough sleep and letting emotions get the better of me, I want this day to be over already "
0,@nnorafiza @Phee78 Just read your tweets about the Oz tour.  I don't know what to say other than *hugs*  
0,"@JamieOber Now you know, that's not what I want to hear, high 61 "
0,@hazelcullen it went awful my monologues went great but rest pretty much i wasnt happy with @ all def wnt be gettin in 
0,"said goodbye to the Baha'is tonight     One goodbye down, lots more to go."
0,"@celebrian then you, vanessa, and chelsea stole elsbe for a while? so i hung around with... um... i forgot his name "
0,is looking for her friend Kassi....where are you??!! 
0,we may not be able to get hoodies!  Someone just quoted me Â£27.50 each! But I have emailed 5 or 6 companies!
0,I woke up this morning having made a miraculous recovery!! Now I just have to finish that paper for Martha effing Eshoo. 
0,"@helga_hansen That's the problem with &quot;my&quot; collection (or Son's, as he would have it). I haven't seen any of the old classics for years "
0,so sleepy waiting for the iphone update 
0,"@bridgers I'd love to visit you, but my car died. "
0,"@ErikaM12345 Ahh okay, i love that song!    I feel ya"
0,"@georgemanning Agility not a big success   He was easily scared by the noise of apparatus moving, but we tried!"
0,it's dark 
0,"@susanreynolds ... Or, &quot;Those halcyon days of yore, before arrival of the Obamnivore.&quot; "
0,@RK_24 Oh thank god...I think I died a little inside when I saw that news. 
0,@heathertcb why did u cut me out of the pic for the lets get this girl pic 
0,ugh AsHley G. she'z goinG off. . .iM sad 
0,"Yikes, supposed to bring couple of dishes to family event in Toronto - 3 hrs to shop &amp; cook. Haven't even figured out what I'm doing yet "
0,"-what happens when you purchase a cheap ring as your temporary while yours is getting fixed? It turns into cra, thats what! "
0,@AliC66 NOT GOING  no friends x
